ward_old,street_name,odd_even,numbers,ward_new,notes,
Walkley,Limbrick Close,,,Walkley,,
Walkley,Limbrick Road,,,Walkley,,
Walkley,Linaker Road,,,Walkley,,
Walkley,Lister Road,,,Walkley,,
Walkley,Lock Street,,,Hillsborough,,
Walkley,Lonsdale Road,,,Walkley,,
Walkley,Malinda Street,,,Walkley,,
Walkley,Manvers Road,,,Walkley,,
Walkley,Marsden Lane,,,Walkley,,
Walkley,Martin Close,,,Walkley,,
Walkley,Martin Street,,,Walkley,,
Walkley,Matlock Road,,,Walkley,,
Walkley,Matthew St ,,,City,,
Walkley,Meadow Street,,,Walkley,,
Walkley,Midvale Avenue,,,Walkley,,
Walkley,Midvale Close,,,Walkley,,
Walkley,Mitchell Street,,,Walkley,,
Walkley,Montgomery Terrace Road,,,Walkley,,
Walkley,Moorfields,,,City,,
Walkley,Moorsyde Avenue,,,Walkley,,
Walkley,Moorsyde Crescent,,,Walkley,,
Walkley,Morley Street,,,Walkley,,
Walkley,Morpeth Gardens,,,Walkley,,
Walkley,Morpeth St,,,Walkley,,
Walkley,Mushroom Lane,,,Walkley,,
Walkley,Netherthorpe Place,,,Walkley,,
Walkley,Netherthorpe Street,,,Walkley,,
Walkley,Netherthorpe Walk,,,Walkley,,
Walkley,Nichols Road,,,Walkley,,
Walkley,Northfield Close,,,Walkley,,
Walkley,Northfield Court,,,Walkley,,
Walkley,Northfield Road,evens,2-120,Walkley,evens only in Walkley,
Walkley,Old Brewery Court,,,Walkley,,
Walkley,Orchard Road,,,Walkley,,
Walkley,Other Electors,,,Walkley,,
Walkley,Otley Walk,,,Walkley,,
Walkley,Oxford Street,,,Walkley,,
Walkley,Palm Lane,,,Walkley,,
Walkley,Palm Street,,,Walkley,,
Walkley,Parsonage Court,,,Walkley,,
Walkley,Parsonage Crescent,,,Walkley,,
Walkley,Parsonage Street,,,Walkley,,
Walkley,Penistone Road,,,City,,
Walkley,Philadelphia Drive,,,Walkley,,
Walkley,Philadelphia Gardens,,,Walkley,,
Walkley,Philadelphia Grove,,,Walkley,,
Walkley,Portland Court,,,Walkley,,
Walkley,Powell Street,,,Walkley,,
Walkley,Primrose Hill,,,Walkley,,
Walkley,Providence Road,,,Walkley,,
Walkley,Queens Row,,,City,,
Walkley,Racker Way,,,Walkley,,
Walkley,Radford Street,,,Walkley,,
Walkley,Rangeley Road,,,Walkley,,
Walkley,Rear of 184 Howard Road,,,Walkley,,
Walkley,Red Hill,,,Walkley,no houses south side only ,
Walkley,Rider Road,,,Hillsborough,,
Walkley,Ripley Street,,,Walkley,,
Walkley,Rivelin Bank,,,Walkley,,
Walkley,Rivelin Road,,,Walkley,,
Walkley,Rivelin Street,,,Walkley,,
Walkley,Rivelin Terrace,,,Walkley,,
Walkley,Rivelin Valley Road,,,Walkley,,
Walkley,River Terrace,,,Walkley,,
Walkley,Robertson Drive,,,Walkley,,
Walkley,Robertson Road,,,Walkley,,
Walkley,Rudyard Mews,,,Hillsborough,,
Walkley,Rudyard Road,,,Hillsborough,,
Walkley,Scotland St,,43-999,Walkley,inc Hanover Works.odds above 41 (not inc),
Walkley,Shepherd St,,,City,,
Walkley,Sherde Road,,,Walkley,,
Walkley,Shipton Street,,,Walkley,,
Walkley,Siddall Street,,,Walkley,,
Walkley,Singleton Crescent,,,Walkley,,
Walkley,Singleton Grove,,,Walkley,,
Walkley,Singleton Road,,,Walkley,,
Walkley,Somerville Terrace,,,Walkley,,
Walkley,South Road,,,Walkley,,
Walkley,Springvale Walk,,,Walkley,,
Walkley,St Georges Close,,,Walkley,,
Walkley,St Georges Walk,,,Walkley,,
Walkley,St Philips Lane,,,Walkley,,
Walkley,St Philips Road,,,Walkley,,
Walkley,St Stephens Road,,,Walkley,,
Walkley,St Stephens Walk,,,Walkley,,
Walkley,Stoney Walk,,,Walkley,,
Walkley,Storrs Hall Road,,,Walkley,,
Walkley,Summer Street,,,Walkley,,
Walkley,Sutton Street,,,Walkley,,
Walkley,Tennyson Road,,,Walkley,,
Walkley,Thoresby Road,,,Walkley,,
Walkley,Thrush Street,,,Walkley,,
Walkley,Tinker Lane,,"3,5,7,9,11",Walkley,,
Walkley,Treswell Crescent,,,Hillsborough,,
Walkley,Trickett Road,,,Walkley,,
Walkley,Upper Allen Street,,,Walkley,,
Walkley,Upperthorpe,,,Walkley,now all in W,
Walkley,Upperthorpe Glen,,,Walkley,,
Walkley,Upperthorpe Road,,,Walkley,,
Walkley,Victor Street,,,Walkley,,
Walkley,Wales Place,,,Walkley,,
Walkley,Walkley Bank Close,,,Walkley,,
Walkley,Walkley Bank Road,,,Walkley,,
Walkley,Walkley Crescent Road,,,Walkley,,
Walkley,Walkley Lane,,,Walkley,,
Walkley,Walkley Road,,,Walkley,,
Walkley,Walkley Street,,,Walkley,,
Walkley,Walkley Terrace,,,Walkley,,
Walkley,Waller Road,,,Walkley,,
Walkley,Watersmeet Road,,,Walkley,,
Walkley,Welbeck Road,,,Walkley,,
Walkley,Well Meadow Drive,,,Walkley,,
Walkley,Well Meadow Street,,,Walkley,,
Walkley,West Don Street,,,Hillsborough,,
Walkley,Westmoreland Street,,,Walkley,,
Walkley,Weston Street,,,Walkley,,
Walkley,Wheeldon St,,,Walkley,,
Walkley,Whitehouse Lane,,,Walkley,,
Walkley,Whitehouse Road,,,Walkley,,
Walkley,Winter Street,,,Walkley,,
Walkley,Wood View Road,,,Walkley,,
Walkley,Yardley Square,,,Walkley,,
Walkley,Yeomans Road,,,Walkley,,
